scenario,orr1,rho1,n_ia,enrl_rate,orr0,mos0,mos1,rho2,lambda0,SOC/Non-Responder,SOC/Responder,TRT/Non-Responder,TRT/Responder,Relationship between ORR and OS
1,0.25,0.1,20,3,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
2,0.25,0.1,20,12,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
3,0.25,0.1,30,3,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
4,0.25,0.1,30,12,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
5,0.25,0.1,50,3,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
6,0.25,0.1,50,12,0.25,8.5,8.5,1,0.11848487447124802,5.850090010671758,58.50090010671759,5.850090010671758,58.50090010671759,Strong
7,0.25,0.5,20,3,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
8,0.25,0.5,20,12,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
9,0.25,0.5,30,3,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
10,0.25,0.5,30,12,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
11,0.25,0.5,50,3,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
12,0.25,0.5,50,12,0.25,8.5,8.5,1,0.09540354747453986,7.265423549841519,14.530847099683038,7.265423549841519,14.530847099683038,Moderate
13,0.25,1,20,3,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
14,0.25,1,20,12,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
15,0.25,1,30,3,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
16,0.25,1,30,12,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
17,0.25,1,50,3,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
18,0.25,1,50,12,0.25,8.5,8.5,1,0.08154637481062729,8.500036723516162,8.500036723516162,8.500036723516162,8.500036723516162,Weak
19,0.35,0.1,20,3,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
20,0.35,0.1,20,12,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
21,0.35,0.1,30,3,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
22,0.35,0.1,30,12,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
23,0.35,0.1,50,3,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
24,0.35,0.1,50,12,0.25,8.5,12.75,0.8126527195452642,0.11848487447124802,5.850090010671758,58.50090010671759,7.198757685749568,71.98757685749567,Strong
25,0.35,0.5,20,3,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
26,0.35,0.5,20,12,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
27,0.35,0.5,30,3,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
28,0.35,0.5,30,12,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
29,0.35,0.5,50,3,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
30,0.35,0.5,50,12,0.25,8.5,12.75,0.7128007845033725,0.09540354747453986,7.265423549841519,14.530847099683038,10.192782763144033,20.385565526288065,Moderate
31,0.35,1,20,3,0.25,8.5,12.75,0.6666685149728839,0.08154637481062729,8.500036723516162,8.500036723516162,12.75001973636312,12.75001973636312,Weak
32,0.35,1,20,12,0.25,8.5,12.75,0.6666685149728839,0.08154637481062729,8.500036723516162,8.500036723516162,12.75001973636312,12.75001973636312,Weak
33,0.35,1,30,3,0.25,8.5,12.75,0.6666685149728839,0.08154637481062729,8.500036723516162,8.500036723516162,12.75001973636312,12.75001973636312,Weak
34,0.35,1,30,12,0.25,8.5,12.75,0.6666685149728839,0.08154637481062729,8.500036723516162,8.500036723516162,12.75001973636312,12.75001973636312,Weak
35,0.35,1,50,3,0.25,8.5,12.75,0.6666685149728839,0.08154637481062729,8.500036723516162,8.500036723516162,12.75001973636312,12.75001973636312,Weak
36,0.35,1,50,12,0.25,8.5,12.75,0.6666685149728839,0.08154637481062729,8.500036723516162,8.500036723516162,12.75001973636312,12.75001973636312,Weak
37,0.45,0.1,20,3,0.25,8.5,17,0.7763436619878933,0.11848487447124802,5.850090010671758,58.50090010671759,7.535438617083716,75.35438617083716,Strong
38,0.45,0.1,20,12,0.25,8.5,17,0.7763436619878933,0.11848487447124802,5.850090010671758,58.50090010671759,7.535438617083716,75.35438617083716,Strong
39,0.45,0.1,30,3,0.25,8.5,17,0.7763436619878933,0.11848487447124802,5.850090010671758,58.50090010671759,7.535438617083716,75.35438617083716,Strong
40,0.45,0.1,30,12,0.25,8.5,17,0.7763436619878933,0.11848487447124802,5.850090010671758,58.50090010671759,7.535438617083716,75.35438617083716,Strong
41,0.45,0.1,50,3,0.25,8.5,17,0.7763436619878933,0.11848487447124802,5.850090010671758,58.50090010671759,7.535438617083716,75.35438617083716,Strong
42,0.45,0.1,50,12,0.25,8.5,17,0.7763436619878933,0.11848487447124802,5.850090010671758,58.50090010671759,7.535438617083716,75.35438617083716,Strong
43,0.45,0.5,20,3,0.25,8.5,17,0.5728399718148732,0.09540354747453986,7.265423549841519,14.530847099683038,12.683164421685142,25.366328843370283,Moderate
44,0.45,0.5,20,12,0.25,8.5,17,0.5728399718148732,0.09540354747453986,7.265423549841519,14.530847099683038,12.683164421685142,25.366328843370283,Moderate
45,0.45,0.5,30,3,0.25,8.5,17,0.5728399718148732,0.09540354747453986,7.265423549841519,14.530847099683038,12.683164421685142,25.366328843370283,Moderate
46,0.45,0.5,30,12,0.25,8.5,17,0.5728399718148732,0.09540354747453986,7.265423549841519,14.530847099683038,12.683164421685142,25.366328843370283,Moderate
47,0.45,0.5,50,3,0.25,8.5,17,0.5728399718148732,0.09540354747453986,7.265423549841519,14.530847099683038,12.683164421685142,25.366328843370283,Moderate
48,0.45,0.5,50,12,0.25,8.5,17,0.5728399718148732,0.09540354747453986,7.265423549841519,14.530847099683038,12.683164421685142,25.366328843370283,Moderate
49,0.45,1,20,3,0.25,8.5,17,0.5000027482958693,0.08154637481062729,8.500036723516162,8.500036723516162,16.99998000508267,16.99998000508267,Weak
50,0.45,1,20,12,0.25,8.5,17,0.5000027482958693,0.08154637481062729,8.500036723516162,8.500036723516162,16.99998000508267,16.99998000508267,Weak
51,0.45,1,30,3,0.25,8.5,17,0.5000027482958693,0.08154637481062729,8.500036723516162,8.500036723516162,16.99998000508267,16.99998000508267,Weak
52,0.45,1,30,12,0.25,8.5,17,0.5000027482958693,0.08154637481062729,8.500036723516162,8.500036723516162,16.99998000508267,16.99998000508267,Weak
53,0.45,1,50,3,0.25,8.5,17,0.5000027482958693,0.08154637481062729,8.500036723516162,8.500036723516162,16.99998000508267,16.99998000508267,Weak
54,0.45,1,50,12,0.25,8.5,17,0.5000027482958693,0.08154637481062729,8.500036723516162,8.500036723516162,16.99998000508267,16.99998000508267,Weak
